shell,triangles,cx,cy,cz,dx,dy,dz,xmin,ymin,zmin,xmax,ymax,zmax
59,524,-4.245000004768372,23.835000038146973,-3.5499998927116394,1.6000001430511475,3.730001449584961,5.299999833106995,-5.045000076293945,21.969999313354492,-6.199999809265137,-3.444999933242798,25.700000762939453,-0.8999999761581421
60,524,-20.410625457763672,4.949999928474426,116.28224182128906,3.7374534606933594,5.299999952316284,2.95782470703125,-22.27935218811035,2.299999952316284,114.80332946777344,-18.541898727416992,7.599999904632568,117.76115417480469
61,524,-22.910625457763672,4.949999928474426,120.61236953735352,3.7374534606933594,5.299999952316284,2.9578170776367188,-24.77935218811035,2.299999952316284,119.13346099853516,-21.041898727416992,7.599999904632568,122.09127807617188
62,524,-22.910625457763672,4.949999928474426,268.61236572265625,3.7374534606933594,5.299999952316284,2.95782470703125,-24.77935218811035,2.299999952316284,267.1334533691406,-21.041898727416992,7.599999904632568,270.0912780761719
63,524,-20.410625457763672,4.949999928474426,372.28224182128906,3.7374534606933594,5.299999952316284,2.957794189453125,-22.27935218811035,2.299999952316284,370.8033447265625,-18.541898727416992,7.599999904632568,373.7611389160156
64,524,-22.910625457763672,4.949999928474426,376.61236572265625,3.7374534606933594,5.299999952316284,2.95782470703125,-24.77935218811035,2.299999952316284,375.1334533691406,-21.041898727416992,7.599999904632568,378.0912780761719
65,428,-25.944767951965332,3.100000023841858,113.18765640258789,5.813138961791992,1.6000001430511475,4.202629089355469,-28.851337432861328,2.299999952316284,111.08634185791016,-23.038198471069336,3.9000000953674316,115.28897094726562
66,428,0.7549999728798866,30.5,-5.3999998569488525,1.599999949336052,6.0,1.5999999046325684,-0.04500000178813934,27.5,-6.199999809265137,1.5549999475479126,33.5,-4.599999904632568
67,428,-25.944767951965332,3.100000023841858,261.1876525878906,5.813138961791992,1.6000001430511475,4.20263671875,-28.851337432861328,2.299999952316284,259.0863342285156,-23.038198471069336,3.9000000953674316,263.2889709472656
68,428,-25.944767951965332,3.100000023841858,369.1876525878906,5.813138961791992,1.6000001430511475,4.20263671875,-28.851337432861328,2.299999952316284,367.0863342285156,-23.038198471069336,3.9000000953674316,371.2889709472656
69,428,-92.18765640258789,-25.944767951965332,381.90000915527344,4.202629089355469,5.813138961791992,1.600006103515625,-94.28897094726562,-28.851337432861328,381.1000061035156,-90.08634185791016,-23.038198471069336,382.70001220703125
70,356,-4.245000004768372,30.5,-5.3999998569488525,1.6000001430511475,6.0,1.5999999046325684,-5.045000076293945,27.5,-6.199999809265137,-3.444999933242798,33.5,-4.599999904632568
71,356,-28.444767951965332,3.100000023841858,373.5177917480469,5.813138961791992,1.6000001430511475,4.20263671875,-31.351337432861328,2.299999952316284,371.4164733886719,-25.538198471069336,3.9000000953674316,375.6191101074219
72,356,-28.444767951965332,3.100000023841858,265.5177917480469,5.813138961791992,1.6000001430511475,4.20263671875,-31.351337432861328,2.299999952316284,263.4164733886719,-25.538198471069336,3.9000000953674316,267.6191101074219
73,356,-28.444767951965332,3.100000023841858,117.51778411865234,5.813138961791992,1.6000001430511475,4.2026214599609375,-31.351337432861328,2.299999952316284,115.41647338867188,-25.538198471069336,3.9000000953674316,119.61909484863281
74,356,-96.51778411865234,-28.444767951965332,381.90000915527344,4.2026214599609375,5.813138961791992,1.600006103515625,-98.61909484863281,-31.351337432861328,381.1000061035156,-94.41647338867188,-25.538198471069336,382.70001220703125
75,184,-92.87091064453125,-26.53460121154785,381.8999938964844,16.673873901367188,13.68155288696289,5.20001220703125,-101.20784759521484,-33.3753776550293,379.29998779296875,-84.53397369384766,-19.693824768066406,384.5
76,184,0.005000114440917969,30.100000381469727,-5.399999976158142,15.5,8.799999237060547,5.200000047683716,-7.744999885559082,25.700000762939453,-8.0,7.755000114440918,34.5,-2.799999952316284
77,184,-26.53460121154785,3.0999999046325684,369.87091064453125,13.68155288696289,5.199999809265137,16.67388916015625,-33.3753776550293,0.5,361.5339660644531,-19.693824768066406,5.699999809265137,378.2078552246094
78,184,-26.53460121154785,3.0999999046325684,113.87091064453125,13.68155288696289,5.199999809265137,16.673873901367188,-33.3753776550293,0.5,105.53397369384766,-19.693824768066406,5.699999809265137,122.20784759521484
79,184,-26.53460121154785,3.0999999046325684,261.87091064453125,13.68155288696289,5.199999809265137,16.67388916015625,-33.3753776550293,0.5,253.53396606445312,-19.693824768066406,5.699999809265137,270.2078552246094
80,100,-114.76735305786133,31.05165672302246,380.9049987792969,1.2018356323242188,3.665699005126953,0.75,-115.36827087402344,29.218807220458984,380.5299987792969,-114.16643524169922,32.88450622558594,381.2799987792969
81,100,30.53402042388916,4.09499990940094,137.69920349121094,3.665700912475586,0.7499997615814209,1.20184326171875,28.701169967651367,3.7200000286102295,137.09828186035156,32.36687088012695,4.46999979019165,138.3001251220703
82,100,-117.66512680053711,30.275200843811035,380.9049987792969,1.2018356323242188,3.665700912475586,0.75,-118.26604461669922,28.442350387573242,380.5299987792969,-117.064208984375,32.10805130004883,381.2799987792969
83,100,-118.14809036254883,30.145791053771973,380.9049987792969,1.2018356323242188,3.665700912475586,0.75,-118.74900817871094,28.31294059753418,380.5299987792969,-117.54717254638672,31.978641510009766,381.2799987792969
